"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"u.hats.E"	"u.hats.F"	"u.hats.G"	"u.hats.H"	"u.hats.I"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"s.hats.E"	"s.hats.F"	"s.hats.G"	"s.hats.H"	"s.hats.I"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"w.hats.E"	"w.hats.F"	"w.hats.G"	"w.hats.H"	"w.hats.I"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"add"	9	0.164302402862813	0.123326856119093	0.111913006931212	1.84341327306862	0.08126	0.0956	0.15257	0.07092	0.04651	0.16906	0.05045	0.1463	0.19454	0.58847	0.0979	26.33536	-14.31733	0.178208312079092	0.14256	0.14761	0.24787	0.1039	0.07273	0.28585	0.05452	0.2217	0.32713	0.54616	0.10281	24.96521	-16.11684	0.194459610610528	0.14708	0.16338	0.26716	0.1189	0.0802	0.30161	0.07683	0.24884	0.34615	0.58101	0.09879	26.08391	-14.90356
"add"	9	0.38219104858581	0.200086798344273	0.174544490608458	2.18403151537025	0.20366	0.26177	0.15261	0.10439	0.17999	0.09717	0.18732	0.27864	0.10535	0.76911	0.1289	18.63412	-9.7504	0.266340886671424	0.31343	0.39465	0.23035	0.15793	0.28881	0.18045	0.25803	0.42575	0.14766	0.60547	0.1685	11.13324	-17.5495	0.328405902881092	0.38605	0.49201	0.28234	0.19702	0.34784	0.19958	0.33515	0.52907	0.18659	0.73741	0.13746	16.83292	-12.61268
"add"	9	0.348042049375363	0.0807160571566783	0.11490096782625	3.23886568465752	0.13081	0.12473	0.1173	0.12204	0.08871	0.10411	0.11729	0.11225	0.11687	0.94298	0.04125	50.53342	-3.09669	0.284181272490987	0.31461	0.29223	0.3011	0.28511	0.2174	0.2769	0.30252	0.26874	0.29902	0.74823	0.08669	29.74099	-23.97235	0.343902860693221	0.38888	0.36781	0.35524	0.35949	0.2648	0.31813	0.35444	0.3329	0.35345	0.92644	0.04686	46.96646	-6.70926
"add"	9	0.253858021681663	0.158101097680628	0.197651438296376	1.23282043581081	0.08944	0.16981	0.08724	0.36437	0.34717	0.14174	0.25024	0.26325	0.06561	0.74078	0.09095	28.39722	-6.74546	0.187226502473016	0.08838	0.14088	0.0693	0.35704	0.34084	0.12931	0.26504	0.2383	0.05595	0.64407	0.10658	23.95823	-13.52099	0.210796888145534	0.09869	0.1666	0.08358	0.399	0.37785	0.14528	0.28599	0.27432	0.06586	0.70841	0.09646	26.74988	-9.305
"add"	9	0.220035422581714	0.0849574260646477	0.107694140562368	2.1783200024327	0.16056	0.10492	0.09511	0.06406	0.11886	0.10138	0.07624	0.08963	0.15848	0.75242	0.06871	36.24987	-12.21554	0.196516903977604	0.29872	0.18636	0.18083	0.10306	0.20684	0.19431	0.13996	0.1624	0.29617	0.70414	0.07511	33.75552	-19.03998	0.219775834188372	0.33111	0.21222	0.19729	0.12485	0.23815	0.21019	0.15544	0.18263	0.32611	0.74548	0.06967	35.86264	-13.97548
"add"	9	0.193110232090112	0.0625684884143993	0.152037792958883	1.39922195459282	0.15694	0.14734	0.13393	0.14747	0.13026	0.16583	0.15417	0.1449	0.18748	0.77027	0.04732	46.6957	-7.40339	0.170065030164142	0.17144	0.15665	0.15741	0.15736	0.14669	0.18637	0.18189	0.15752	0.21525	0.63289	0.05981	40.1329	-18.0737	0.191106577124912	0.19507	0.18078	0.17273	0.18141	0.16443	0.20818	0.19862	0.17983	0.23892	0.73815	0.05051	44.86379	-12.15331
"add"	9	0.427345396659803	0.205408436828293	0.272157903565507	1.78853361593511	0.22682	0.25229	0.34411	0.36058	0.28666	0.25778	0.28175	0.26313	0.17628	0.54286	0.16618	11.52158	-8.63093	0.302490796947021	0.25098	0.28435	0.32493	0.40325	0.34567	0.33184	0.3479	0.24646	0.18704	0.00897	0.24467	0.68886	-24.41913	0.383365953543586	0.32256	0.36492	0.43371	0.51906	0.42664	0.39244	0.41913	0.33368	0.23815	0.38509	0.19273	7.37068	-14.7262
"add"	9	0.333465699211229	0.0976086079608649	0.115358708307088	3.08561767524626	0.1121	0.08996	0.09197	0.10968	0.14928	0.11432	0.13778	0.13073	0.1024	0.73746	0.09225	28.00051	-7.14727	0.279093323388571	0.26108	0.19487	0.20697	0.25836	0.37664	0.29785	0.35401	0.31337	0.24868	0.61545	0.11165	22.657	-15.71771	0.330758228846128	0.31788	0.24928	0.25643	0.31254	0.43494	0.33567	0.402	0.37441	0.29368	0.72575	0.09429	27.38959	-8.94641
"add"	9	0.163527630968019	0.0418741246103309	0.369196674522979	0.555249713624633	0.479	0.39294	0.34747	0.4027	0.34426	0.30059	0.3129	0.37887	0.36405	0.68624	0.05046	44.89311	-5.21077	0.144884781536216	0.19012	0.13776	0.13916	0.14461	0.13771	0.12376	0.1291	0.14585	0.1559	0.8179	0.03844	52.51014	-6.34094	0.159267955324981	0.20871	0.15567	0.15192	0.16313	0.15102	0.13385	0.13958	0.16148	0.16806	0.83136	0.03699	53.58574	-4.14791
"add"	9	0.197065742930863	0.213886972866021	0.379091705971236	0.84094834978422	0.39707	0.35597	0.45787	0.48405	0.35258	0.00702	0.60242	0.42433	0.33051	0.21843	0.21347	4.50895	-11.23692	0.228363136582616	0.23373	0.2243	0.34988	0.31573	0.17531	0.02607	0.411	0.1478	0.17144	0.32882	0.19782	6.64065	-16.56785	0.250926541120016	0.25874	0.23849	0.34819	0.33936	0.21363	0.02051	0.4452	0.19568	0.19853	0.37971	0.19017	7.74467	-14.39335
"add"	9	0.463512766011991	0.102229293901473	0.0633753583784218	7.31700136119841	0.07177	0.06337	0.06019	0.07225	0.05493	0.05287	0.05621	0.06873	0.07007	0.90483	0.07416	34.11245	-7.04199	0.350437011052331	0.38967	0.33375	0.34656	0.3848	0.29285	0.30898	0.31851	0.37429	0.40451	0.73894	0.12282	19.98585	-28.23917	0.443831144225199	0.50158	0.44063	0.42431	0.50381	0.38225	0.37286	0.39409	0.48065	0.49431	0.9008	0.07571	33.53261	-9.55252
"add"	9	0.069946264626924	0.121216693834867	0.118736524266546	0.617472274896376	0.13549	0.19534	-0.00054	0.06851	0.01791	0.07472	0.28171	0.02686	0.26863	0.4172	0.07592	33.45521	-10.06035	0.055882014174602	0.05731	0.07713	-0.00321	0.03318	0.00278	0.04175	0.14415	0.0093	0.14054	0.32699	0.08159	31.4403	-12.11286	0.0607212959803357	0.0641	0.088	-0.00214	0.03614	0.00504	0.04322	0.15223	0.0115	0.1484	0.3698	0.07895	32.36043	-11.28832
"add"	9	0.330834409315139	0.1794141784776	0.418714190759408	1.00830737691165	0.39462	0.51586	0.36147	0.45363	0.45025	0.44637	0.37482	0.36738	0.40404	0.41929	0.15268	13.89341	-4.95314	0.258849593968491	0.22903	0.29604	0.21161	0.24596	0.31113	0.29458	0.28831	0.21368	0.23929	0.54726	0.13481	17.3786	-12.22692	0.308130393527968	0.27919	0.36422	0.25285	0.30715	0.36284	0.3393	0.3216	0.2575	0.28853	0.60788	0.12546	19.39089	-8.74796
"add"	9	0.374557879765052	0.122874630615115	0.460087227591886	1.10573044867865	0.52032	0.39327	0.54879	0.46791	0.41668	0.46427	0.41447	0.49731	0.41777	0.63426	0.11918	20.82826	-7.67617	0.309664813395105	0.34815	0.23293	0.38932	0.27089	0.26657	0.29792	0.33964	0.32474	0.31683	0.73916	0.10065	25.56043	-16.66398	0.374780011911627	0.42579	0.29714	0.46137	0.34536	0.32918	0.35889	0.38461	0.40081	0.36987	0.83431	0.08022	31.91342	-5.88485
"add"	9	0.289789193822071	0.22851397912018	0.339667619738815	1.43611568090575	0.25721	0.19241	0.48816	0.26578	0.49173	0.34545	0.16971	0.41672	0.42985	0.35243	0.25385	-0.34143	-2.55398	0.364860144812615	0.29296	0.19287	0.49348	0.24117	0.38257	0.42456	0.20722	0.45881	0.59009	0.45549	0.23277	2.08539	-5.97862	0.410396731555989	0.3283	0.23149	0.55961	0.30055	0.4845	0.45359	0.2251	0.50654	0.60388	0.49341	0.22452	3.09596	-3.20202
"add"	9	0.469326557358727	0.0397717538289726	0.0497628628262596	9.78666364082059	0.04669	0.04962	0.05187	0.05078	0.04537	0.05012	0.04765	0.05232	0.05346	0.98097	0.03138	58.19661	-9.32408	0.371447846414726	0.33615	0.35503	0.39316	0.3562	0.32897	0.39984	0.37865	0.38401	0.41103	0.78752	0.10485	24.41485	-41.60915	0.471394100851848	0.4405	0.46802	0.49208	0.47759	0.42803	0.4784	0.45454	0.49506	0.50833	0.97824	0.03355	56.31943	-9.38133
"add"	9	0.430117905279621	0.109609262086451	0.145045740925333	3.21402877878267	0.14567	0.1459	0.12592	0.12139	0.17302	0.14267	0.14403	0.16303	0.14379	0.79548	0.10288	24.9458	-9.28234	0.337788247038355	0.33073	0.32386	0.27411	0.26337	0.41608	0.37882	0.34308	0.379	0.33105	0.57379	0.14852	14.66626	-23.40088	0.42194913816078	0.42144	0.41911	0.35622	0.34564	0.51045	0.43383	0.41981	0.47568	0.41537	0.77312	0.10836	23.49327	-11.50987
"add"	9	0.0551753236562945	0.183241808554158	0.138640190370225	0.580674205909633	0.12563	-0.05995	-0.01548	0.06858	-0.16066	0.05275	0.46775	0.42722	0.34192	0.29532	0.15742	13.0373	-10.32344	0.0798367355822296	0.02358	-0.05045	-0.02133	-0.01139	-0.06975	0.03674	0.36398	0.26397	0.18317	0.35931	0.1501	14.36992	-12.13479	0.0757279255105598	0.03282	-0.0439	-0.01333	-0.00065	-0.07552	0.03375	0.32052	0.24869	0.17918	0.37577	0.14816	14.73434	-11.50428
"add"	9	0.472049660107587	0.107567329891026	0.523086754490529	1.34688645566607	0.48603	0.53062	0.57396	0.5325	0.56746	0.49185	0.44095	0.58713	0.49727	0.47909	0.19919	6.44774	-10.12247	0.408002848877346	0.39343	0.40168	0.47074	0.32707	0.42439	0.45332	0.38062	0.41001	0.41076	0.85551	0.10491	24.40107	-15.02937	0.512215295043267	0.49439	0.51669	0.5765	0.45476	0.54066	0.52926	0.456	0.53776	0.50391	0.83368	0.11255	22.43098	-6.30594
"add"	9	0.129592392919585	0.0447325762361288	0.0882022336012005	1.55432622920925	0.10145	0.0783	0.08924	0.095	0.11321	0.07197	0.10199	0.06104	0.08163	0.64791	0.04472	48.2766	-7.70402	0.120825211097807	0.13916	0.10316	0.12393	0.12791	0.16007	0.09918	0.1447	0.08019	0.10912	0.6204	0.04643	47.22346	-9.8542	0.129872339729183	0.14951	0.11335	0.13219	0.13888	0.16917	0.10613	0.15248	0.08828	0.11886	0.64267	0.04505	48.07008	-8.3015
"add"	9	0.0803281593602151	0.120499719574582	0.191274800085293	0.659572236058971	0.16902	0.00396	0.20047	0.15949	0.25118	0.17718	0.22483	0.33183	0.20353	0.25405	0.11412	22.04415	-13.30987	0.0930802828578804	0.07892	-0.01504	0.08696	0.08074	0.12219	0.06678	0.14483	0.17678	0.09557	0.14716	0.12202	20.16928	-15.35347	0.100523867760145	0.08547	-0.01132	0.09694	0.08764	0.1326	0.07624	0.14561	0.18761	0.10392	0.19129	0.11882	20.91326	-14.26726
"add"	9	0.246940153266769	0.0217625797959045	0.0854316806866339	3.00311087543935	0.08604	0.08764	0.08389	0.08745	0.07759	0.08349	0.09049	0.08641	0.08588	0.97303	0.01899	72.25483	-4.42535	0.211063873198444	0.20619	0.20908	0.21199	0.20833	0.18756	0.21428	0.23404	0.21096	0.21714	0.86803	0.04201	50.026	-26.77921	0.242396474786811	0.24199	0.24632	0.23965	0.24566	0.21864	0.23932	0.26006	0.24455	0.24537	0.96428	0.02186	68.32123	-9.36063
"add"	9	0.177950254408643	0.203382377861999	0.205816052627993	1.20067929772813	0.30599	0.34585	0.44349	0.25524	0.3301	0.09867	0.08688	-0.04279	0.02892	0.32683	0.22785	2.68395	-15.45721	0.194750878922099	0.30938	0.32062	0.44742	0.19832	0.36741	0.10529	0.02376	-0.04313	0.02369	0.14341	0.25702	-0.68937	-15.85501	0.210566065523918	0.32936	0.3481	0.47223	0.2274	0.37807	0.11117	0.04249	-0.04474	0.031	0.25941	0.23898	1.3477	-15.30067
"add"	9	0.262966612598393	0.0167308048112318	0.524951765875959	0.707671362442037	0.54306	0.53932	0.52256	0.5434	0.51804	0.52299	0.49734	0.53016	0.5077	0.69649	0.06965	35.87073	-35.76859	0.228428028234584	0.22648	0.21926	0.23405	0.21836	0.22271	0.24934	0.23438	0.21965	0.23163	0.93486	0.03227	57.41401	-31.37755	0.26390470515731	0.26604	0.2601	0.26752	0.25954	0.25861	0.27853	0.26251	0.25848	0.26381	0.98699	0.01442	79.96934	-5.98263
"add"	9	0.495710937504191	0.134012086607981	0.512996170593433	1.41238332589199	0.47806	0.45117	0.53731	0.52565	0.62851	0.50408	0.41955	0.5213	0.55133	0.56494	0.1869	8.23037	-17.87826	0.423194558080673	0.4059	0.30159	0.41951	0.39554	0.53595	0.45515	0.41507	0.40188	0.47816	0.89473	0.09194	28.09597	-13.27937	0.532900197630879	0.51282	0.41878	0.53148	0.52182	0.66928	0.54805	0.48502	0.52226	0.58658	0.88213	0.09728	26.51307	-5.13497
"add"	9	0.441898755996954	0.0859029525890946	0.494225398444009	1.26979174177163	0.49496	0.57966	0.46985	0.50771	0.498	0.41149	0.51778	0.47805	0.49052	0.61923	0.14602	15.14198	-10.95185	0.362908659954493	0.32451	0.40181	0.37969	0.3575	0.36056	0.35516	0.4543	0.32182	0.31084	0.76807	0.11396	22.08288	-19.81353	0.454032310917704	0.42466	0.51757	0.4596	0.46066	0.45275	0.41698	0.53157	0.41857	0.40393	0.86915	0.0856	30.09629	-9.25572
"add"	9	0.404913234105334	0.0269049596972764	0.0466283648833108	9.12093869156433	0.04719	0.04622	0.04636	0.04586	0.0462	0.04623	0.05004	0.04657	0.04499	0.98634	0.02269	67.2716	-4.61174	0.333801122492841	0.32574	0.31505	0.33934	0.31313	0.32813	0.35264	0.37917	0.32335	0.32766	0.82238	0.08183	31.35787	-40.26252	0.412660765277171	0.41577	0.40675	0.41142	0.40363	0.40855	0.41234	0.44582	0.41072	0.39895	0.98387	0.02466	64.93919	-5.60186
"add"	9	0.419770959834568	0.132321368611883	0.495987475124243	1.2692825179975	0.53626	0.5406	0.3652	0.4636	0.47515	0.5837	0.59558	0.50753	0.39627	0.42883	0.20532	5.59945	-10.98229	0.378059728654974	0.34068	0.34675	0.252	0.36422	0.41854	0.51062	0.5316	0.36951	0.26861	0.77116	0.12996	18.40474	-6.65795	0.463273323010066	0.45012	0.45639	0.3183	0.44832	0.49371	0.5916	0.61019	0.4633	0.33752	0.74311	0.13769	16.78595	-6.02382
"add"	9	0.212239372427575	0.116290920763277	0.144446728471168	1.67377618706793	0.10807	0.13653	0.14486	0.17456	0.15859	0.14094	0.13166	0.18701	0.11781	0.4148	0.1291	18.59005	-16.63601	0.186287855238992	0.11828	0.18106	0.15351	0.22713	0.22027	0.18474	0.19177	0.25536	0.14446	0.30478	0.14071	16.17826	-19.11123	0.214632621136355	0.14828	0.20673	0.19585	0.26035	0.24481	0.21004	0.20769	0.28669	0.17126	0.38882	0.13194	17.98183	-17.74729
"add"	9	0.106691572908312	0.0445949098211713	0.247053047367816	0.48707116438232	0.28838	0.247	0.26324	0.2574	0.35677	0.21211	0.19887	0.17731	0.2224	0.62117	0.03935	51.85974	-11.10854	0.0914199638185216	0.10967	0.0873	0.09417	0.09069	0.13439	0.08525	0.07162	0.0629	0.08679	0.45737	0.04709	46.82906	-19.05064	0.0981834220598169	0.11737	0.0948	0.10195	0.09872	0.14386	0.08966	0.07699	0.06824	0.09206	0.52849	0.0439	48.79593	-15.15823
"add"	9	0.227346904331353	0.121904772764537	0.286819918787181	0.857394942099721	0.394	0.2284	0.13213	0.30458	0.42105	0.25268	0.31919	0.33192	0.19743	0.34714	0.11067	22.90234	-17.50509	0.161070063569661	0.19027	0.12685	0.06945	0.18385	0.25835	0.08926	0.21137	0.18862	0.13161	-0.27149	0.15445	13.57015	-41.50752	0.18488702865712	0.227	0.14843	0.08013	0.20995	0.29323	0.11075	0.23243	0.21707	0.14499	0.00341	0.13674	16.98066	-34.86715
"add"	9	0.270492073334754	0.243005039053969	0.201292837901318	1.34348914762916	0.31782	0.23996	0.11874	0.18675	0.26106	0.06304	0.39428	0.07002	0.15996	0.47673	0.19543	6.98171	-17.03554	0.214599302193509	0.42724	0.27527	0.16519	0.1763	0.31052	-0.02701	0.39414	0.03938	0.17037	0.31277	0.22396	3.16579	-24.66635	0.236858103183039	0.41541	0.29379	0.1628	0.20225	0.32833	0.02766	0.45307	0.06125	0.18717	0.43756	0.20261	5.97124	-21.3737
"add"	9	0.184686296607833	0.159743009076919	0.294604922048373	0.998971404202875	0.18271	0.31604	0.27275	0.25994	0.33015	0.36357	0.25543	0.40312	0.26773	0.02537	0.21018	4.94374	-6.5355	0.228320116221029	0.15126	0.19033	0.15146	0.18585	0.27216	0.33783	0.22547	0.30535	0.23516	0.24891	0.18451	8.59104	-7.08587	0.249406950127625	0.16334	0.22591	0.19157	0.2098	0.29291	0.34862	0.23654	0.32938	0.2466	0.22064	0.18795	8.07378	-6.63006
"add"	9	0.298188111942727	0.0337024093605578	0.0316637136105797	9.5172836128639	0.03531	0.03372	0.03105	0.03038	0.03518	0.03102	0.02702	0.03176	0.02954	0.97721	0.02252	67.48455	-6.92637	0.249983395139543	0.27498	0.2599	0.24763	0.23257	0.27884	0.25663	0.21999	0.24549	0.2338	0.89472	0.0484	46.06294	-27.70718	0.295020580918417	0.32858	0.31343	0.28954	0.28215	0.32803	0.29053	0.25246	0.29523	0.27522	0.97616	0.02303	66.85956	-7.22346
"add"	9	0.43988111068029	0.0999516669544391	0.515522451517809	1.23702507579176	0.57628	0.54975	0.57033	0.53521	0.50747	0.50231	0.51103	0.49915	0.38816	0.54682	0.16727	11.33863	-15.11368	0.366559299842892	0.38672	0.38899	0.4218	0.34848	0.37159	0.42311	0.35138	0.31872	0.28825	0.88825	0.08306	30.93949	-8.65519	0.45740891498736	0.49471	0.4929	0.5169	0.45364	0.461	0.49391	0.43338	0.41598	0.35427	0.88838	0.08301	30.95513	-4.40053
"add"	9	0.370748267997988	0.165609177900478	0.0715476443027039	5.02129802650035	0.08673	0.07041	0.06194	0.07884	0.08934	0.04539	0.06273	0.08799	0.06057	0.70823	0.11889	20.89819	-4.39391	0.279949192164212	0.34111	0.26308	0.22342	0.3109	0.36784	0.18644	0.26307	0.32046	0.24322	0.60666	0.13804	16.71632	-13.08923	0.340921872770537	0.41462	0.33256	0.28853	0.37724	0.43135	0.21809	0.30338	0.41231	0.29021	0.70342	0.11986	20.66941	-5.8019
"add"	9	0.462186773237772	0.105234590300824	0.529832128005402	1.34011294978278	0.62203	0.5727	0.46861	0.52274	0.56383	0.50961	0.51645	0.50907	0.48346	0.46387	0.21341	4.51658	-13.80908	0.424525323150759	0.51098	0.4107	0.41739	0.35439	0.46692	0.42986	0.43786	0.3627	0.42994	0.88889	0.09715	26.55076	-7.27716	0.527501290535495	0.63285	0.53574	0.49824	0.47612	0.57648	0.51408	0.52537	0.47499	0.51363	0.80272	0.12946	18.5134	-3.10699
"add"	9	0.0557883516419679	0.0497963064117357	0.11605904002029	0.398840791983885	0.09251	0.12349	-0.04343	0.21031	0.03718	0.1712	0.13974	0.21356	0.09998	0.13657	0.05117	44.50214	-13.02541	0.039497351887307	0.02846	0.04065	-0.00706	0.06695	0.01182	0.06458	0.04976	0.06594	0.03437	0.08297	0.05274	43.65895	-14.83374	0.0410270279308242	0.03041	0.0424	-0.00905	0.07052	0.0126	0.06548	0.0511	0.07019	0.03559	0.10425	0.05212	43.98771	-14.33995
"add"	9	0.43280945623992	0.201687091554049	0.102047547376446	4.71220543211245	0.08615	0.09451	0.11592	0.1141	0.07976	0.10337	0.09993	0.11738	0.1073	0.61213	0.17156	10.62849	-11.99014	0.360890644733535	0.28771	0.33535	0.44957	0.37558	0.2458	0.40204	0.37113	0.37043	0.41039	0.44875	0.20453	5.70725	-21.62322	0.449705114293751	0.3751	0.41829	0.52345	0.49401	0.33985	0.4669	0.44537	0.50133	0.48303	0.60184	0.17382	10.26189	-12.95429
"add"	9	0.0992945404257625	0.240160171233583	0.082548618289002	0.920588024527909	0.32985	0.07838	0.02424	0.16574	-0.0122	0.01859	0.06122	0.05566	0.02146	0.1804	0.19969	6.37672	-12.83555	0.0384454441436503	0.24711	0.00401	0.00495	0.10109	-0.04862	-0.07177	0.06018	0.04054	0.00852	0.05214	0.21475	4.34115	-16.48375	0.0511992201326149	0.26018	0.03175	0.01165	0.11172	-0.0309	-0.03991	0.0598	0.04436	0.01214	0.12744	0.20605	5.50009	-14.5743
"add"	9	0.224949762376491	0.143166560097598	0.139597714256204	1.63715468972211	0.17076	0.13964	0.15453	0.13793	0.13842	0.13555	0.09178	0.23402	0.05374	0.61838	0.10708	23.82779	-7.47201	0.171854259107087	0.21668	0.16026	0.19472	0.17242	0.15682	0.16931	0.12098	0.2756	0.07989	0.48886	0.12392	19.73657	-12.9002	0.200224898564286	0.24943	0.19365	0.22391	0.2007	0.18969	0.1948	0.13614	0.32903	0.08467	0.58763	0.11131	22.74273	-9.25822
"add"	9	0.422718622989487	0.0146153938258067	0.579449281287473	1.07103924797861	0.58829	0.59564	0.56342	0.61254	0.60305	0.54244	0.54196	0.5943	0.57342	0.61815	0.12837	18.74935	-56.38758	0.344816097576118	0.33087	0.32544	0.34213	0.33682	0.35611	0.36544	0.36652	0.33507	0.34493	0.91243	0.06147	39.36619	-50.91321	0.427280016285914	0.42105	0.41989	0.41871	0.43373	0.44357	0.42941	0.43031	0.42593	0.42292	0.99423	0.01578	77.43458	-8.95943
"add"	9	0.35379696812015	0.187118894886225	0.211774537434455	1.68501099742826	0.22922	0.30533	0.22036	0.18042	0.22129	0.21141	0.02783	0.32564	0.18447	0.53707	0.1677	11.26515	-13.92256	0.25393724053798	0.30006	0.36131	0.29249	0.15496	0.21852	0.30473	0.03239	0.37669	0.2443	0.30128	0.20603	5.50165	-20.06953	0.301647352090816	0.34497	0.43133	0.33102	0.21623	0.28569	0.33259	0.03855	0.45651	0.27793	0.46958	0.17951	9.35981	-15.98038
"add"	9	0.344165156490635	0.182527608587407	0.35910772796181	1.35080106871089	0.44569	0.28301	0.4363	0.2738	0.43316	0.24614	0.30259	0.33741	0.47388	0.3916	0.17208	10.54414	-18.21028	0.303405154760299	0.39458	0.17767	0.41716	0.23368	0.33011	0.2109	0.33533	0.2194	0.41182	-0.26136	0.24777	0.33658	-29.52946	0.369457637117453	0.48195	0.24024	0.49337	0.28837	0.41272	0.25057	0.37297	0.2889	0.49601	0.12188	0.20673	5.40683	-21.87818
"add"	9	0.143225796474144	0.114108809328172	0.331500847085708	0.63327744284634	0.33146	0.25071	0.44585	0.46255	0.41611	0.12451	0.27824	0.33717	0.33691	0.25231	0.12468	19.56578	-15.25186	0.15025149798975	0.15961	0.10451	0.17166	0.22248	0.19212	0.03616	0.15176	0.14766	0.16632	0.43109	0.10876	23.39153	-13.42328	0.164630733532416	0.1723	0.11744	0.19809	0.24007	0.20841	0.04338	0.15944	0.1644	0.17817	0.41471	0.11031	22.99404	-13.43287
"add"	9	0.454980769986287	0.0374094237340614	0.567816917885147	1.16314835610606	0.61071	0.58155	0.57405	0.58613	0.56065	0.52445	0.52474	0.57261	0.57545	0.6719	0.12306	19.93294	-34.78599	0.360864313292572	0.36653	0.34247	0.38744	0.32796	0.34675	0.38545	0.36497	0.33992	0.38628	0.80508	0.09485	27.223	-43.58357	0.453952042056045	0.47399	0.44842	0.47639	0.43509	0.44116	0.45641	0.43743	0.44112	0.47555	0.98602	0.0254	64.11225	-9.29939
