"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"add"	4	-0.71745801505167	0.0611325889476575	-0.217262500501811	2.04355837644946	-0.14911	-0.16536	-0.2602	-0.29438	0.53222	0.45498	-5.31444	-6.61711	-0.0351063404456817	-0.031	-0.0341	-0.03617	-0.03915	0.99344	0.05387	16.02284	-3.97225	-0.671986149653931	-0.5762	-0.63482	-0.70668	-0.77025	0.97787	0.09897	9.94008	-3.54393
"add"	4	-0.251112795283552	0.212741603318136	-0.109756763255797	2.04355837644946	-0.11594	-0.12064	-0.1401	-0.06234	0.73626	0.14203	6.32783	-1.96731	-0.0138527789284926	-0.01575	-0.01634	-0.01554	-0.00778	0.8479	0.10786	9.08009	-1.57371	-0.275964184170117	-0.31149	-0.32336	-0.31403	-0.15498	0.84487	0.10893	8.98131	-1.62139
"add"	4	-0.672949523862917	0.194410138996318	-0.0662368261854585	9.57053117575791	-0.07292	-0.05876	-0.07746	-0.05581	0.94638	0.16644	4.74189	-1.1071	-0.0365833758599716	-0.04249	-0.03434	-0.04034	-0.02917	0.90915	0.21664	2.10579	-0.54425	-0.705550019573026	-0.80511	-0.64987	-0.79392	-0.5733	0.93065	0.18928	3.45582	-0.73272
"add"	4	-0.221705578605179	0.14013308682479	-0.0984097897021411	2.04355837644946	-0.23267	-0.00283	-0.07966	-0.07847	0.55921	0.1446	6.1483	-0.56119	-0.0110690669247667	-0.02647	-0.00015	-0.00895	-0.00871	0.42418	0.16527	4.81214	-0.17842	-0.2235831765217	-0.53431	-0.00346	-0.18062	-0.17595	0.43884	0.16316	4.94103	-0.2142
"add"	4	-0.218388734408654	0.220334739191458	-0.0531352951471027	2.20571961873234	0.118	-0.12552	-0.15074	-0.05428	0.3801	0.27019	-0.10326	-1.36645	-0.00603655254133448	0.01743	-0.01603	-0.01751	-0.00803	0.43797	0.25727	0.38676	-1.24708	-0.122954766004557	0.34361	-0.32163	-0.35478	-0.15901	0.433	0.25841	0.34279	-1.26066
"add"	4	-0.148512008727994	0.0480572609230876	-0.106563385126643	1.30189240581686	-0.11975	-0.08924	-0.0871	-0.13016	0.95909	0.03971	19.07334	-1.43497	-0.00852794463268028	-0.01018	-0.00774	-0.00678	-0.00941	0.88122	0.06766	13.74381	-1.92552	-0.171460390728717	-0.20398	-0.1548	-0.13653	-0.19053	0.89204	0.0645	14.22142	-1.85195
"add"	4	-0.842655785148963	0.0474442490958609	-0.253118714656805	2.04355837644946	-0.21466	-0.20461	-0.2873	-0.3059	0.63401	0.52476	-6.74122	-7.877	-0.0448162311809759	-0.0478	-0.04579	-0.04169	-0.04398	0.98623	0.10179	9.65912	-7.61761	-0.843664987911654	-0.87698	-0.83903	-0.80648	-0.85217	0.99977	0.01302	30.22583	-1.93502
"add"	4	-0.506751879723743	0.224142693041358	-0.142404386737877	2.04355837644946	-0.10052	-0.10534	-0.20326	-0.16049	0.12308	0.59778	-8.04402	-1.48507	-0.0211841737060771	-0.0182	-0.01901	-0.02754	-0.01999	0.65844	0.37307	-3.32953	-0.91977	-0.411979070651213	-0.34619	-0.36177	-0.54175	-0.39821	0.60603	0.40067	-4.0433	-0.98556
"add"	4	-0.609552272642031	0.249923609546386	-0.20038726117994	2.04355837644946	-0.23521	-0.10537	-0.231	-0.22997	0.64007	0.42718	-4.68381	-2.88997	-0.0310821421060502	-0.04217	-0.02057	-0.02914	-0.03244	0.92204	0.19881	2.96471	-1.3281	-0.600300295077147	-0.80344	-0.38605	-0.57845	-0.63326	0.9142	0.20857	2.48562	-1.38364
"add"	4	-0.163878306944389	0.213627999415621	-0.0489996425279246	2.04355837644946	-0.03119	-0.04841	-0.03592	-0.08047	0.37421	0.13335	6.95852	-3.01222	-0.00527945242032996	-0.00343	-0.00554	-0.00352	-0.00863	0.41381	0.12906	7.28538	-3.07557	-0.107115519940786	-0.06945	-0.11172	-0.07212	-0.17517	0.41042	0.12943	7.25657	-3.0669
"add"	4	-0.938127059827093	0.0912489947513677	-0.266863452578156	2.04355837644946	-0.25397	-0.19332	-0.28433	-0.33583	0.56315	0.62352	-8.46563	-5.3791	-0.0491278032405776	-0.05885	-0.04601	-0.04207	-0.04958	0.98387	0.11983	8.02765	-1.53001	-0.917163140703549	-1.07179	-0.83258	-0.80934	-0.95493	0.99617	0.05837	15.22066	-0.44985
"add"	4	-0.660167332470883	0.206390376610216	-0.094027259413449	6.86681253992198	-0.04648	-0.13362	-0.10686	-0.08914	0.86517	0.24141	1.02332	-1.01684	-0.039933644679101	-0.02358	-0.05941	-0.04145	-0.03529	0.73972	0.33542	-2.26556	-0.30269	-0.76191180781767	-0.42684	-1.12236	-0.81181	-0.68664	0.80298	0.29182	-0.87324	-0.33928
